Shapes
---------
area = 2496.4307681025616	Trapezoid@4e25154f
area = 71763.81279809438	Cube@70dea4e
area = 114561.96950493511	Cube@5c647e05
area = 6360.472122358777	Rectangle@33909752
area = 3493.7420987841483	Square@55f96302
area = 9222.737093615724	Trapezoid@3d4eac69
area = 15072.035902384623	Rectangle@42a57993
area = 4825.92701650123	Rectangle@75b84c92
area = 39195.3179701897	Cube@6bc7c054
area = 5503.536255947678	Trapezoid@232204a1
area = 252.33267379474782	Square@4aa298b7
area = 5283.825448108016	Square@7d4991ad
area = 13807.434641117014	Trapezoid@28d93b30
area = 5616.947349623109	Square@1b6d3586
area = 17501.01094648693	Square@4554617c
area = 7049.071857423928	Rectangle@74a14482
area = 17906.08754874995	Rectangle@1540e19d
area = 1439.0914871356988	Trapezoid@677327b6
area = 70386.40651956378	Cube@14ae5a5
area = 1105.8990480865557	Rectangle@7f31245a
area = 8132.699261468513	Rectangle@6d6f6e28
area = 7525.133305140171	Circle@135fbaa4
area = 32246.517854116842	Cube@45ee12a7
area = 6821.005374103	Trapezoid@330bedb4
area = 15796.021094241536	Square@2503dbd3
area = 3358.800902162765	Rectangle@4b67cf4d
area = 2766.425623864022	Square@7ea987ac
area = 1616.8916686772286	Rectangle@12a3a380
area = 43553.401303713275	Circle@29453f44
area = 6561.462874690425	Rectangle@5cad8086
area = 4972.922275866513	Circle@6e0be858
area = 6124.030323074745	Trapezoid@61bbe9ba
area = 679.3207965199263	Rectangle@610455d6
area = 6964.0867749448635	Rectangle@511d50c0
area = 101361.41081430795	Cube@60e53b93
area = 2969.849124465648	Trapezoid@5e2de80c
